table_name,column_name,domain,business_meaning,data_type,confidence_boost,domain_priority,validation_rules,examples,unique_key,processed_at
ACCOUNT_ACH_BATCH_LIMIT_REPORT,SINGLE_BATCH_CREDIT_AMOUNT,account,Account financial field for monetary calculations and reporting,decimal,25,5,"numeric,non_negative","1250.50,5000.00,750.25",ACCOUNT_ACH_BATCH_LIMIT_REPORT.SINGLE_BATCH_CREDIT_AMOUNT,2025-06-15T22:54:00.431362
ACCOUNT_ACH_BATCH_LIMIT_REPORT,SINGLE_BATCH_DEBIT_AMOUNT,account,Account financial field for monetary calculations and reporting,decimal,25,5,"numeric,non_negative","1250.50,5000.00,750.25",ACCOUNT_ACH_BATCH_LIMIT_REPORT.SINGLE_BATCH_DEBIT_AMOUNT,2025-06-15T22:54:00.432361
ACCOUNT_ACH_BATCH_LIMIT_REPORT,SINGLE_BATCH_ENTRY_CREDIT_AMOUNT,account,Account financial field for monetary calculations and reporting,decimal,25,5,"numeric,non_negative","1250.50,5000.00,750.25",ACCOUNT_ACH_BATCH_LIMIT_REPORT.SINGLE_BATCH_ENTRY_CREDIT_AMOUNT,2025-06-15T22:54:00.433940
ACCOUNT_ACH_BATCH_LIMIT_REPORT,SINGLE_BATCH_ENTRY_DEBIT_AMOUNT,account,Account financial field for monetary calculations and reporting,decimal,25,5,"numeric,non_negative","1250.50,5000.00,750.25",ACCOUNT_ACH_BATCH_LIMIT_REPORT.SINGLE_BATCH_ENTRY_DEBIT_AMOUNT,2025-06-15T22:54:00.435091
ACCOUNT_ACH_BATCH_LIMIT_REPORT,SEC_CODES_CREDIT,account,Account field SEC_CODES_CREDIT in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,varchar,10,5,,"sample_sec_codes_credit_1,sample_sec_codes_credit_2,sample_sec_codes_credit_3",ACCOUNT_ACH_BATCH_LIMIT_REPORT.SEC_CODES_CREDIT,2025-06-15T22:54:00.436386
ACCOUNT_ACH_BATCH_LIMIT_REPORT,SEC_CODES_DEBIT,account,Account field SEC_CODES_DEBIT in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,varchar,10,5,,"sample_sec_codes_debit_1,sample_sec_codes_debit_2,sample_sec_codes_debit_3",ACCOUNT_ACH_BATCH_LIMIT_REPORT.SEC_CODES_DEBIT,2025-06-15T22:54:00.437726
ACCOUNT_ACH_BATCH_LIMIT_REPORT,ALLOW_MIXED,account,Account field ALLOW_MIXED in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,varchar,10,5,,"sample_allow_mixed_1,sample_allow_mixed_2,sample_allow_mixed_3",ACCOUNT_ACH_BATCH_LIMIT_REPORT.ALLOW_MIXED,2025-06-15T22:54:00.437726
ACCOUNT_ACH_BATCH_LIMIT_REPORT,OFFSET_ACCOUNT,account,Account field OFFSET_ACCOUNT in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,bigint,10,5,,"12345,67890,54321",ACCOUNT_ACH_BATCH_LIMIT_REPORT.OFFSET_ACCOUNT,2025-06-15T22:54:00.437726
ACCOUNT_ACH_BATCH_LIMIT_REPORT,PROCESSING_TIME,account,Account field PROCESSING_TIME in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_LIMIT_REPORT.PROCESSING_TIME,2025-06-15T22:54:00.441681
ACCOUNT_ACH_BATCH_LIMIT_REPORT,PROCESSING_DATE_OPTIONS,account,Account date field for temporal tracking and reporting,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_LIMIT_REPORT.PROCESSING_DATE_OPTIONS,2025-06-15T22:54:00.443804
ACCOUNT_ACH_BATCH_LIMIT_REPORT,APPROVAL_REQUIRED,account,Account field APPROVAL_REQUIRED in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,varchar,10,5,,"sample_approval_required_1,sample_approval_required_2,sample_approval_required_3",ACCOUNT_ACH_BATCH_LIMIT_REPORT.APPROVAL_REQUIRED,2025-06-15T22:54:00.444896
ACCOUNT_ACH_BATCH_LIMIT_REPORT,PREFUNDING_REQUIRED,account,Account field PREFUNDING_REQUIRED in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,varchar,10,5,,"sample_prefunding_required_1,sample_prefunding_required_2,sample_prefunding_required_3",ACCOUNT_ACH_BATCH_LIMIT_REPORT.PREFUNDING_REQUIRED,2025-06-15T22:54:00.447105
ACCOUNT_ACH_BATCH_LIMIT_REPORT,LAST_MODIFIED_BY,account,Account field LAST_MODIFIED_BY in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,varchar,10,5,,"sample_last_modified_by_1,sample_last_modified_by_2,sample_last_modified_by_3",ACCOUNT_ACH_BATCH_LIMIT_REPORT.LAST_MODIFIED_BY,2025-06-15T22:54:00.448106
ACCOUNT_ACH_BATCH_LIMIT_REPORT,LAST_MODIFIED_TIME,account,Account field LAST_MODIFIED_TIME in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_LIMIT_REPORT.LAST_MODIFIED_TIME,2025-06-15T22:54:00.450010
ACCOUNT_ACH_BATCH_LIMIT_REPORT,ADT_LOAD_DATE,account,Account date field for temporal tracking and reporting,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_LIMIT_REPORT.ADT_LOAD_DATE,2025-06-15T22:54:00.451234
ACCOUNT_ACH_BATCH_LIMIT_REPORT,ADT_FILE_SOURCE,account,Account field ADT_FILE_SOURCE in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_LIMIT_REPORT.ADT_FILE_SOURCE,2025-06-15T22:54:00.453407
ACCOUNT_ACH_BATCH_LIMIT_REPORT,ADT_HASH_KEY,account,Account field ADT_HASH_KEY in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_LIMIT_REPORT.ADT_HASH_KEY,2025-06-15T22:54:00.454407
ACCOUNT_ACH_BATCH_LIMIT_REPORT,DBT_SCD_ID,account,Account identifier field for system linking and relationship management,bigint,20,5,"not_null,unique","1001234567,2001234568,3001234569",ACCOUNT_ACH_BATCH_LIMIT_REPORT.DBT_SCD_ID,2025-06-15T22:54:00.456501
ACCOUNT_ACH_BATCH_LIMIT_REPORT,DBT_UPDATED_AT,account,Account date field for temporal tracking and reporting,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_LIMIT_REPORT.DBT_UPDATED_AT,2025-06-15T22:54:00.458220
ACCOUNT_ACH_BATCH_LIMIT_REPORT,DBT_VALID_FROM,account,Account identifier field for system linking and relationship management,bigint,20,5,"not_null,unique","1001234567,2001234568,3001234569",ACCOUNT_ACH_BATCH_LIMIT_REPORT.DBT_VALID_FROM,2025-06-15T22:54:00.458220
ACCOUNT_ACH_BATCH_LIMIT_REPORT,DBT_VALID_TO,account,Account identifier field for system linking and relationship management,bigint,20,5,"not_null,unique","1001234567,2001234568,3001234569",ACCOUNT_ACH_BATCH_LIMIT_REPORT.DBT_VALID_TO,2025-06-15T22:54:00.462001
ACCOUNT_ACH_BATCH_LIMIT_REPORT,RECORD_SK,account,Account field RECORD_SK in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,varchar,10,5,,"sample_record_sk_1,sample_record_sk_2,sample_record_sk_3",ACCOUNT_ACH_BATCH_LIMIT_REPORT.RECORD_SK,2025-06-15T22:54:00.462001
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,ANB_ID,account,Account identifier field for system linking and relationship management,bigint,20,5,"not_null,unique","1001234567,2001234568,3001234569",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.ANB_ID,2025-06-15T22:54:00.465785
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,ROW_NUM,account,Account field ROW_NUM in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,varchar,10,5,,"sample_row_num_1,sample_row_num_2,sample_row_num_3",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.ROW_NUM,2025-06-15T22:54:00.467015
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PROCESSING_DATE,account,Account date field for temporal tracking and reporting,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.PROCESSING_DATE,2025-06-15T22:54:00.467015
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PAYMENT_ACH_BATCHES,account,Account field PAYMENT_ACH_BATCHES in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,varchar,10,5,,"sample_payment_ach_batches_1,sample_payment_ach_batches_2,sample_payment_ach_batches_3",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.PAYMENT_ACH_BATCHES,2025-06-15T22:54:00.467015
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PAYMENT_ACH_ITEMS,account,Account field PAYMENT_ACH_ITEMS in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,varchar,10,5,,"sample_payment_ach_items_1,sample_payment_ach_items_2,sample_payment_ach_items_3",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.PAYMENT_ACH_ITEMS,2025-06-15T22:54:00.467015
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PAYMENT_TOTAL_CREDITS,account,Account field PAYMENT_TOTAL_CREDITS in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,varchar,10,5,,"sample_payment_total_credits_1,sample_payment_total_credits_2,sample_payment_total_credits_3",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.PAYMENT_TOTAL_CREDITS,2025-06-15T22:54:00.474624
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PAYMENT_TOTAL_DEBITS,account,Account field PAYMENT_TOTAL_DEBITS in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,varchar,10,5,,"sample_payment_total_debits_1,sample_payment_total_debits_2,sample_payment_total_debits_3",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.PAYMENT_TOTAL_DEBITS,2025-06-15T22:54:00.477075
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,SFT_ACH_BATCHES,account,Account field SFT_ACH_BATCHES in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,varchar,10,5,,"sample_sft_ach_batches_1,sample_sft_ach_batches_2,sample_sft_ach_batches_3",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.SFT_ACH_BATCHES,2025-06-15T22:54:00.479087
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,SFT_ACH_ITEMS,account,Account field SFT_ACH_ITEMS in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,varchar,10,5,,"sample_sft_ach_items_1,sample_sft_ach_items_2,sample_sft_ach_items_3",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.SFT_ACH_ITEMS,2025-06-15T22:54:00.481098
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,SFT_TOTAL_CREDITS,account,Account field SFT_TOTAL_CREDITS in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,varchar,10,5,,"sample_sft_total_credits_1,sample_sft_total_credits_2,sample_sft_total_credits_3",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.SFT_TOTAL_CREDITS,2025-06-15T22:54:00.481098
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,SFT_TOTAL_DEBITS,account,Account field SFT_TOTAL_DEBITS in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,varchar,10,5,,"sample_sft_total_debits_1,sample_sft_total_debits_2,sample_sft_total_debits_3",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.SFT_TOTAL_DEBITS,2025-06-15T22:54:00.483108
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,COMBINED_ACH_BATCHES,account,Account field COMBINED_ACH_BATCHES in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,varchar,10,5,,"sample_combined_ach_batches_1,sample_combined_ach_batches_2,sample_combined_ach_batches_3",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.COMBINED_ACH_BATCHES,2025-06-15T22:54:00.485119
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,COMBINED_ACH_ITEMS,account,Account field COMBINED_ACH_ITEMS in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,varchar,10,5,,"sample_combined_ach_items_1,sample_combined_ach_items_2,sample_combined_ach_items_3",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.COMBINED_ACH_ITEMS,2025-06-15T22:54:00.487132
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,COMBINED_TOTAL_CREDITS,account,Account field COMBINED_TOTAL_CREDITS in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,varchar,10,5,,"sample_combined_total_credits_1,sample_combined_total_credits_2,sample_combined_total_credits_3",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.COMBINED_TOTAL_CREDITS,2025-06-15T22:54:00.489143
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,COMBINED_TOTAL_DEBITS,account,Account field COMBINED_TOTAL_DEBITS in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,varchar,10,5,,"sample_combined_total_debits_1,sample_combined_total_debits_2,sample_combined_total_debits_3",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.COMBINED_TOTAL_DEBITS,2025-06-15T22:54:00.491747
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,ADT_LOAD_DATE,account,Account date field for temporal tracking and reporting,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.ADT_LOAD_DATE,2025-06-15T22:54:00.491747
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,ADT_FILE_SOURCE,account,Account field ADT_FILE_SOURCE in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.ADT_FILE_SOURCE,2025-06-15T22:54:00.491747
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,ADT_HASH_KEY,account,Account field ADT_HASH_KEY in ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY for business operations,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.ADT_HASH_KEY,2025-06-15T22:54:00.491747
ACCOUNT_ACH_BATCH_PROCESS,ANB_ID,account,Account identifier field for system linking and relationship management,bigint,20,5,"not_null,unique","1001234567,2001234568,3001234569",ACCOUNT_ACH_BATCH_PROCESS.ANB_ID,2025-06-15T22:54:00.491747
ACCOUNT_ACH_BATCH_PROCESS,TRIGGER_DATE,account,Account date field for temporal tracking and reporting,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_PROCESS.TRIGGER_DATE,2025-06-15T22:54:00.491747
ACCOUNT_ACH_BATCH_PROCESS,TRIGGER_NAME,account,Account name field for identification and display purposes,varchar,15,5,,"John Smith,Jane Doe,Robert Johnson",ACCOUNT_ACH_BATCH_PROCESS.TRIGGER_NAME,2025-06-15T22:54:00.502057
ACCOUNT_ACH_BATCH_PROCESS,FILE_NAME,account,Account name field for identification and display purposes,varchar,15,5,,"John Smith,Jane Doe,Robert Johnson",ACCOUNT_ACH_BATCH_PROCESS.FILE_NAME,2025-06-15T22:54:00.504069
ACCOUNT_ACH_BATCH_PROCESS,NUMBER_OF_ITEMS,account,Account field NUMBER_OF_ITEMS in ACCOUNT_ACH_BATCH_PROCESS for business operations,bigint,10,5,,"12345,67890,54321",ACCOUNT_ACH_BATCH_PROCESS.NUMBER_OF_ITEMS,2025-06-15T22:54:00.506087
ACCOUNT_ACH_BATCH_PROCESS,CREDIT_AMOUNT,account,Account financial field for monetary calculations and reporting,decimal,25,5,"numeric,non_negative","1250.50,5000.00,750.25",ACCOUNT_ACH_BATCH_PROCESS.CREDIT_AMOUNT,2025-06-15T22:54:00.508498
ACCOUNT_ACH_BATCH_PROCESS,DEBIT_AMOUNT,account,Account financial field for monetary calculations and reporting,decimal,25,5,"numeric,non_negative","1250.50,5000.00,750.25",ACCOUNT_ACH_BATCH_PROCESS.DEBIT_AMOUNT,2025-06-15T22:54:00.511405
ACCOUNT_ACH_BATCH_PROCESS,PROCESSING_TIME,account,Account field PROCESSING_TIME in ACCOUNT_ACH_BATCH_PROCESS for business operations,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_PROCESS.PROCESSING_TIME,2025-06-15T22:54:00.513430
ACCOUNT_ACH_BATCH_PROCESS,PROCESSING_EXCEPTION,account,Account field PROCESSING_EXCEPTION in ACCOUNT_ACH_BATCH_PROCESS for business operations,varchar,10,5,,"sample_processing_exception_1,sample_processing_exception_2,sample_processing_exception_3",ACCOUNT_ACH_BATCH_PROCESS.PROCESSING_EXCEPTION,2025-06-15T22:54:00.514704
ACCOUNT_ACH_BATCH_PROCESS,ADT_LOAD_DATE,account,Account date field for temporal tracking and reporting,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_PROCESS.ADT_LOAD_DATE,2025-06-15T22:54:00.517261
ACCOUNT_ACH_BATCH_PROCESS,ADT_FILE_SOURCE,account,Account field ADT_FILE_SOURCE in ACCOUNT_ACH_BATCH_PROCESS for business operations,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_PROCESS.ADT_FILE_SOURCE,2025-06-15T22:54:00.518704
ACCOUNT_ACH_BATCH_PROCESS,ADT_HASH_KEY,account,Account field ADT_HASH_KEY in ACCOUNT_ACH_BATCH_PROCESS for business operations,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ACH_BATCH_PROCESS.ADT_HASH_KEY,2025-06-15T22:54:00.519464
ACCOUNT_ANALYSIS,ANB_ID,account,Account identifier field for system linking and relationship management,bigint,20,5,"not_null,unique","1001234567,2001234568,3001234569",ACCOUNT_ANALYSIS.ANB_ID,2025-06-15T22:54:00.519464
ACCOUNT_ANALYSIS,ANB_SILVERLAKE_DDAAMS_ID,account,Account identifier field for system linking and relationship management,bigint,20,5,"not_null,unique","1001234567,2001234568,3001234569",ACCOUNT_ANALYSIS.ANB_SILVERLAKE_DDAAMS_ID,2025-06-15T22:54:00.522982
ACCOUNT_ANALYSIS,ANB_ACCOUNT_ID,account,Account identifier field for system linking and relationship management,bigint,20,5,"not_null,unique","1001234567,2001234568,3001234569",ACCOUNT_ANALYSIS.ANB_ACCOUNT_ID,2025-06-15T22:54:00.524989
ACCOUNT_ANALYSIS,ACCOUNT_GROUP_CODE,account,Account field ACCOUNT_GROUP_CODE in ACCOUNT_ANALYSIS for business operations,bigint,10,5,,"12345,67890,54321",ACCOUNT_ANALYSIS.ACCOUNT_GROUP_CODE,2025-06-15T22:54:00.527047
ACCOUNT_ANALYSIS,ANB_OFFICER_DETAIL_ID,account,Account identifier field for system linking and relationship management,bigint,20,5,"not_null,unique","1001234567,2001234568,3001234569",ACCOUNT_ANALYSIS.ANB_OFFICER_DETAIL_ID,2025-06-15T22:54:00.529464
ACCOUNT_ANALYSIS,LAST_ANALYSIS_DATE,account,Account date field for temporal tracking and reporting,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ANALYSIS.LAST_ANALYSIS_DATE,2025-06-15T22:54:00.530488
ACCOUNT_ANALYSIS,CHARGE_LOSS,account,Account field CHARGE_LOSS in ACCOUNT_ANALYSIS for business operations,varchar,10,5,,"sample_charge_loss_1,sample_charge_loss_2,sample_charge_loss_3",ACCOUNT_ANALYSIS.CHARGE_LOSS,2025-06-15T22:54:00.532489
ACCOUNT_ANALYSIS,GROUP_NUMBER,account,Account field GROUP_NUMBER in ACCOUNT_ANALYSIS for business operations,bigint,10,5,,"12345,67890,54321",ACCOUNT_ANALYSIS.GROUP_NUMBER,2025-06-15T22:54:00.533999
ACCOUNT_ANALYSIS,AGGREGATE_DAYS,account,Account field AGGREGATE_DAYS in ACCOUNT_ANALYSIS for business operations,varchar,10,5,,"sample_aggregate_days_1,sample_aggregate_days_2,sample_aggregate_days_3",ACCOUNT_ANALYSIS.AGGREGATE_DAYS,2025-06-15T22:54:00.536017
ACCOUNT_ANALYSIS,AGGREGATE_COLLECTED,account,Account field AGGREGATE_COLLECTED in ACCOUNT_ANALYSIS for business operations,varchar,10,5,,"sample_aggregate_collected_1,sample_aggregate_collected_2,sample_aggregate_collected_3",ACCOUNT_ANALYSIS.AGGREGATE_COLLECTED,2025-06-15T22:54:00.537140
ACCOUNT_ANALYSIS,ACCOUNT_STATUS,account,Account field ACCOUNT_STATUS in ACCOUNT_ANALYSIS for business operations,bigint,10,5,,"12345,67890,54321",ACCOUNT_ANALYSIS.ACCOUNT_STATUS,2025-06-15T22:54:00.538203
ACCOUNT_ANALYSIS,CHARGE_LOSS_EXPIRATION_DATE,account,Account date field for temporal tracking and reporting,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ANALYSIS.CHARGE_LOSS_EXPIRATION_DATE,2025-06-15T22:54:00.539534
ACCOUNT_ANALYSIS,AA_TYPE,account,Account field AA_TYPE in ACCOUNT_ANALYSIS for business operations,varchar,10,5,,"sample_aa_type_1,sample_aa_type_2,sample_aa_type_3",ACCOUNT_ANALYSIS.AA_TYPE,2025-06-15T22:54:00.542505
ACCOUNT_ANALYSIS,ADT_LOAD_DATE,account,Account date field for temporal tracking and reporting,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ANALYSIS.ADT_LOAD_DATE,2025-06-15T22:54:00.544010
ACCOUNT_ANALYSIS,ADT_FILE_SOURCE,account,Account field ADT_FILE_SOURCE in ACCOUNT_ANALYSIS for business operations,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ANALYSIS.ADT_FILE_SOURCE,2025-06-15T22:54:00.544010
ACCOUNT_ANALYSIS,ADT_HASH_KEY,account,Account field ADT_HASH_KEY in ACCOUNT_ANALYSIS for business operations,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ANALYSIS.ADT_HASH_KEY,2025-06-15T22:54:00.546723
ACCOUNT_ANALYSIS,DBT_SCD_ID,account,Account identifier field for system linking and relationship management,bigint,20,5,"not_null,unique","1001234567,2001234568,3001234569",ACCOUNT_ANALYSIS.DBT_SCD_ID,2025-06-15T22:54:00.548180
ACCOUNT_ANALYSIS,DBT_UPDATED_AT,account,Account date field for temporal tracking and reporting,date,10,5,,"2023-01-15,2023-06-30,2023-12-31",ACCOUNT_ANALYSIS.DBT_UPDATED_AT,2025-06-15T22:54:00.548180
