,target_table,target_column,source_table,source_column,domain,confidence,confidence_level,validation_method,reasoning,candidates_found,uuid_hash,processed_at
10,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,N_USE_VEHICLE1,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,b5517196a60103911cae8c7549ebd9f0,2025-06-15T18:18:13.479895
11,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,NAME1,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,c4ebb5b480ea6e3b3e637059fafcd0a7,2025-06-15T18:18:13.580597
12,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,NAME2,PERSTYP,DESCNAMESPACECD,customer,1.697525978088379,very_low,similarity_match,similarity_match with 1.7% confidence,10,f48907097d61a740123d91610c904603,2025-06-15T18:18:13.683121
13,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,NEARESTBRANCHID,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,7131dfba640428599f215f3e5df2afec,2025-06-15T18:18:13.773812
14,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,NON_INTEREST_EXPENSE,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,ebe8863be2eb048081b94c36409cb460,2025-06-15T18:18:13.882335
15,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,NON_INTEREST_INCOME,PERSVENDOR,RPT1099MYN,customer,0.3791189193725586,very_low,similarity_match,similarity_match with 0.4% confidence,10,b45d89fe90c5341f805170781185193f,2025-06-15T18:18:13.978211
16,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,NUM_VEHICLES_HOME,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,3caf48894244d0131d314927f3ef2ae3,2025-06-15T18:18:14.077621
17,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,OCC1,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,101322f0742d3f6a59aa1ab48bbd5b48,2025-06-15T18:18:14.181673
18,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,OCC2,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,70792e79e492c02cf2cc9749b298c2ff,2025-06-15T18:18:14.285514
19,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,OWNER_RENT,PERS,OWNRENT,customer,10.093209743499756,very_low,similarity_match,similarity_match with 10.1% confidence,10,ac70358d6de7884c533987079139f854,2025-06-15T18:18:14.389786
20,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,PHONE1,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,41493bc72c18a0b5c52be0febc8cb719,2025-06-15T18:18:14.477713
21,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,PHONE2,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,6f96bd2795fca472c6a9347d23e72e34,2025-06-15T18:18:14.577081
22,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,PURCHASE_DATE,PERSVENDOR,INACTIVEDATE,customer,7.244894504547119,very_low,similarity_match,similarity_match with 7.2% confidence,10,9aa8da609ac58ad7519f0877dbd16e7f,2025-06-15T18:18:14.672965
23,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,REGION_CODE,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,a7aa30d4a9ee47c1a835a8bb65199d71,2025-06-15T18:18:14.773039
24,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,SAFFIPS,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,52f203fdb28d1c7137297d0cf0b112fd,2025-06-15T18:18:14.871441
25,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,SAFNAME,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,44ff6472fc6f475131ba88e295df3fd0,2025-06-15T18:18:14.966009
26,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,SALNAME,PERSTYP,DESCTOKENNBR,customer,2.366814613342285,very_low,similarity_match,similarity_match with 2.4% confidence,10,fa7cac6f0e99cffb3b2e4dd82406ac35,2025-06-15T18:18:15.062958
27,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,START_DATE,PERSVENDOR,INACTIVEDATE,customer,2.885744571685791,very_low,similarity_match,similarity_match with 2.9% confidence,10,a205bbf97316466cf0d554b30efe2b41,2025-06-15T18:18:15.151354
28,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,TOTAL_DEPOSIT_BALANCES,PERSPARTBALLEVELDFLT,RECVFUNDACCTNBR,customer,1.8358683586120605,very_low,similarity_match,similarity_match with 1.8% confidence,10,2cd96e035479dc51ef698ce59aa99549,2025-06-15T18:18:15.251651
29,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,TOTAL_LOAN_BALANCES,PERSVENDOR,INACTIVEDATE,customer,2.2370195388793945,very_low,similarity_match,similarity_match with 2.2% confidence,10,be432fadf6f65c42da27931cc629ea5a,2025-06-15T18:18:15.348556
30,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,TOTAL_OTHER_BALANCES,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,3b053150a1e497625c00572111438bd2,2025-06-15T18:18:15.441265
31,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,VEHICLE_MAKE_1,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,3175bf194fa74c2d0a9ee2f3a1b6a42d,2025-06-15T18:18:15.534043
32,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,VEHICLE_PURCHASE_LIKELY,PERS,CREDITREPORTCONSINFOCD,customer,11.274001598358154,very_low,similarity_match,similarity_match with 11.3% confidence,10,da16ba196e121c7b21f29f55abae5997,2025-06-15T18:18:15.627707
33,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,ZIP,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,8f2e92672f0f5fe9d591c613296fcd7a,2025-06-15T18:18:15.717463
34,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,ZIP5,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,cd2ccf8fc8c067155a51d5b39dff72c5,2025-06-15T18:18:15.807361
35,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,ADT_LOAD_DATE,PERSVENDOR,INACTIVEDATE,customer,10.030380487442017,very_low,similarity_match,similarity_match with 10.0% confidence,10,853bc104569689e90676596ee1100abb,2025-06-15T18:18:15.891153
36,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,ADT_FILE_SOURCE,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,b56db42b2d0850ff1a066bb6f8226c1f,2025-06-15T18:18:15.987680
37,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,ADT_HASH_KEY,PERS,CUSTKEYWORD,customer,0.4506564140319824,very_low,similarity_match,similarity_match with 0.5% confidence,10,21daf3e7336ceb6e2281fac35cffd3c7,2025-06-15T18:18:16.094542
38,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,DBT_SCD_ID,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,27e222bb796d97673838773af297fbd4,2025-06-15T18:18:16.195038
39,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,DBT_UPDATED_AT,PERSVENDOR,INACTIVEDATE,customer,2.8907155990600586,very_low,similarity_match,similarity_match with 2.9% confidence,10,4cba90402508914085a3c5d3cc4a0d24,2025-06-15T18:18:16.281283
40,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,DBT_VALID_FROM,PERSVENDOR,RPT1099MYN,customer,2.88785457611084,very_low,similarity_match,similarity_match with 2.9% confidence,10,bb6fc258259d38da8271c73cf9ef55d3,2025-06-15T18:18:16.392140
41,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,DBT_VALID_TO,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,c93fe1667701e57745742c2289dce77c,2025-06-15T18:18:16.484631
42,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,RECORD_SK,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,ba454f12c4fd191574f627a4cf836416,2025-06-15T18:18:16.583514
43,ACCOUNT_DAILY_ACCOUNT_REPORT,ANB_ID,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,2c9ef9ca2476c8342f788442289d5335,2025-06-15T18:18:16.652763
44,ACCOUNT_DAILY_ACCOUNT_REPORT,ANB_COMMERCIAL_CENTER_ACCOUNTREPORT_ID,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,0f15252183c37ae47c6a93bd3cd43483,2025-06-15T18:18:16.727148
45,ACCOUNT_DAILY_ACCOUNT_REPORT,COMPANY_ID,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,61104e0142fe00f00367746755160bd0,2025-06-15T18:18:16.805845
46,ACCOUNT_DAILY_ACCOUNT_REPORT,COMPANY_NAME,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,cf5c87fb6627df568a6640a31a462e8c,2025-06-15T18:18:16.875573
47,ACCOUNT_DAILY_ACCOUNT_REPORT,BUSINESS_UNIT,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,6fe6b56e970a0a51d6a4eba19e4a3898,2025-06-15T18:18:16.945162
48,ACCOUNT_DAILY_ACCOUNT_REPORT,MARKET_SEGMENT,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,9051c6fe4cfbd582bb020a8fc70c67a1,2025-06-15T18:18:17.017374
49,ACCOUNT_DAILY_ACCOUNT_REPORT,ABA_NUMBER,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,d359e41b5fc72d8f716081c8114be020,2025-06-15T18:18:17.093327
50,ACCOUNT_DAILY_ACCOUNT_REPORT,ANB_ACCOUNT_ID,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,6d18a70806c6bec83f2d96979b29c2b6,2025-06-15T18:18:17.168485
51,ACCOUNT_DAILY_ACCOUNT_REPORT,ACCOUNT_NUMBER,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,cff0c1fe90b6c85ec0a272c56490def0,2025-06-15T18:18:17.241279
52,ACCOUNT_DAILY_ACCOUNT_REPORT,ACCOUNT_NAME,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,e5e2e042c1eb061d2e39bac4fb5b84c0,2025-06-15T18:18:17.322820
53,ACCOUNT_DAILY_ACCOUNT_REPORT,ACCOUNT_TYPE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,08cab0c36ab698b2b02893895c913690,2025-06-15T18:18:17.400082
54,ACCOUNT_DAILY_ACCOUNT_REPORT,ACCOUNT_CURRENCY,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,b69fd33dfc550714554dd9373851ddc1,2025-06-15T18:18:17.476447
55,ACCOUNT_DAILY_ACCOUNT_REPORT,ACH,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,82f6754c90cc097d50f99b1f8ed65eef,2025-06-15T18:18:17.547539
56,ACCOUNT_DAILY_ACCOUNT_REPORT,WIRES,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,e11b8db0f1691d49e60abac9073761be,2025-06-15T18:18:17.639006
57,ACCOUNT_DAILY_ACCOUNT_REPORT,ACCOUNT_TRANSFER,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,bf55af834889515d6bbbd7e26c0fb8ba,2025-06-15T18:18:17.720101
58,ACCOUNT_DAILY_ACCOUNT_REPORT,CHECK_PRINT,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,c12a33ee80c6e65dc6d45dd826f482b1,2025-06-15T18:18:17.791138
59,ACCOUNT_DAILY_ACCOUNT_REPORT,BILLPAY,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,3e03c73496fca315a2ea2d33e59b1c8d,2025-06-15T18:18:17.860453
60,ACCOUNT_DAILY_ACCOUNT_REPORT,ACH_POSITIVE_PAY,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,3befbd57e1af138d33fdb826cb4e0cb2,2025-06-15T18:18:17.926549
61,ACCOUNT_DAILY_ACCOUNT_REPORT,CHECK_POSITIVE_PAY,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,1329e09cd05537b8cd669a12bbe42811,2025-06-15T18:18:17.997475
62,ACCOUNT_DAILY_ACCOUNT_REPORT,REMOTE_DEPOSIT_CAPTURE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,141b8b6bf6777d96510002eff40a784d,2025-06-15T18:18:18.074100
63,ACCOUNT_DAILY_ACCOUNT_REPORT,STOP_PAYMENTS,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,089382e19ebf0870dd34544bf1690639,2025-06-15T18:18:18.141298
64,ACCOUNT_DAILY_ACCOUNT_REPORT,RECORD_ID,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,645fc43f9e731d8d03d2f9aa650aa7f8,2025-06-15T18:18:18.218353
65,ACCOUNT_DAILY_ACCOUNT_REPORT,ADT_LOAD_DATE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,3b448d40edf0c6d0da928e2a371c59f3,2025-06-15T18:18:18.289287
66,ACCOUNT_DAILY_ACCOUNT_REPORT,ADT_FILE_SOURCE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,101885e6921194bad0f5219fced62ece,2025-06-15T18:18:18.362092
67,ACCOUNT_DAILY_ACCOUNT_REPORT,ADT_HASH_KEY,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,ee77f0e65cc85395c7d1e5dd2ac46b79,2025-06-15T18:18:18.436460
68,ACCOUNT_DAILY_ACCOUNT_REPORT,DBT_SCD_ID,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,96fcddef43259f1c278e6f2baffc2615,2025-06-15T18:18:18.514058
69,ACCOUNT_DAILY_ACCOUNT_REPORT,DBT_UPDATED_AT,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,8940ee21fa947be19e4d2f69a3ea8c50,2025-06-15T18:18:18.585125
70,ACCOUNT_DAILY_ACCOUNT_REPORT,DBT_VALID_FROM,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,6bbb113518715a65654fcf176b9053e7,2025-06-15T18:18:18.655801
71,ACCOUNT_DAILY_ACCOUNT_REPORT,DBT_VALID_TO,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,d671aae665b27d46114bd65289c9324c,2025-06-15T18:18:18.735644
72,ACCOUNT_DAILY_ACCOUNT_REPORT,RECORD_SK,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,01c0bbda9c0419601e75cebd7407d05b,2025-06-15T18:18:18.824728
73,ACCOUNT_DEALER,ANB_ID,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,1fce107f76b9cecfdae51c066009162c,2025-06-15T18:18:18.905770
74,ACCOUNT_DEALER,DEALER_NUMBER,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,cf12261b974eb94a610575d9fead4990,2025-06-15T18:18:18.972568
75,ACCOUNT_DEALER,DEALER_TYPE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,c161859ac001003595bd278d5f90e5f5,2025-06-15T18:18:19.032515
76,ACCOUNT_DEALER,DEALER_NAME,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,fa9d7f43624b08b4cb59b75c6eecccd0,2025-06-15T18:18:19.120743
77,ACCOUNT_DEALER,DEALER_LOCATION,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,8bb09937f279fdd1e82d9f0e4b549282,2025-06-15T18:18:19.195331
78,ACCOUNT_DEALER,ADDRESS_LINE1,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,551f394d7bd8522f8875114598bf18a7,2025-06-15T18:18:19.271228
79,ACCOUNT_DEALER,ADDRESS_LINE2,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,eeadebd1514bae56d617941094a691f8,2025-06-15T18:18:19.350762
80,ACCOUNT_DEALER,ADDRESS_LINE3,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,cf1f3e68ba550b36ccc68c24d2c1577b,2025-06-15T18:18:19.419813
81,ACCOUNT_DEALER,ADDRESS_LINE4,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,a5de05970fb64b920b5f268ed55bb6bf,2025-06-15T18:18:19.501487
82,ACCOUNT_DEALER,CITY,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,4a5889dc7d0c881bb5a12e3d9a36f298,2025-06-15T18:18:19.575229
83,ACCOUNT_DEALER,STATE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,f16d4d6ecfd5aeb634b8317d42a57abc,2025-06-15T18:18:19.652865
84,ACCOUNT_DEALER,ZIP,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,6e9832f06fd1e43f663e7d1ca413bb73,2025-06-15T18:18:19.723850
85,ACCOUNT_DEALER,COUNTY,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,65a98a61dfd80a60fb8c4d5fe2ceded2,2025-06-15T18:18:19.797096
86,ACCOUNT_DEALER,ADT_LOAD_DATE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,13fcb18a3bc7608028527a1c8c5376c2,2025-06-15T18:18:19.876689
87,ACCOUNT_DEALER,ADT_FILE_SOURCE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,64b8fe17f9c95c534b74f87cc0284391,2025-06-15T18:18:19.958247
88,ACCOUNT_DEALER,ADT_HASH_KEY,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,5c1898c35131d81e5538088ba67b2d4c,2025-06-15T18:18:20.037512
89,ACCOUNT_DEALER,DBT_SCD_ID,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,bd218fe818682a0539fffe6b62f38750,2025-06-15T18:18:20.122674
90,ACCOUNT_DEALER,DBT_UPDATED_AT,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,deeb57cb3176bde95302041012f74683,2025-06-15T18:18:20.198789
91,ACCOUNT_DEALER,DBT_VALID_FROM,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,45b28774af7a7ec52e47823e8e628204,2025-06-15T18:18:20.273890
92,ACCOUNT_DEALER,DBT_VALID_TO,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,9d7c2e4e9a32f8f5cdb2417178c5bee7,2025-06-15T18:18:20.345222
93,ACCOUNT_DEALER,RECORD_SK,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,50f9bb344c3f257e9038b09c1fa2e3a4,2025-06-15T18:18:20.417433
94,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,ANB_ID,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,f1072a94af8ce6a01ea1ebe50704aaa8,2025-06-15T18:18:20.488844
95,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,ANB_SILVERLAKE_DDMAST_ID,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,5660364a76d7647e8cb56c7746ae2175,2025-06-15T18:18:20.560947
96,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,ANB_ACCOUNT_ID,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,a497019f255514ad56dedb78c7aad8ae,2025-06-15T18:18:20.641442
97,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,BRANCH_NUMBER,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,1222211666e7e5134eab1cca5a547e70,2025-06-15T18:18:20.721613
98,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,ACCOUNT_NUMBER,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,2899643453ba984f5246405341aeedec,2025-06-15T18:18:20.798584
99,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,ACCOUNT_TYPE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,c9ff3a13bb19363926d4a5ba65294d8d,2025-06-15T18:18:20.880319
100,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,RATE_OVERRIDDEN,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,eb951f1bdc0c9db00848af99511149b5,2025-06-15T18:18:20.956341
101,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,FLOOR_RATE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,5f4c39761004a6eafc2db1077d4624a3,2025-06-15T18:18:21.034882
102,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,CEILING_RATE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,531982567a5c1c93ed87edfe661dee7c,2025-06-15T18:18:21.128767
103,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,RATE_VARIANCE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,fba909ed26742e7e6430a4fd0b7e2da5,2025-06-15T18:18:21.218783
104,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,VARIANCE_CODE_TYPE_ID,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,0724636b06c0a70c3930f80c250229b0,2025-06-15T18:18:21.304821
105,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,CURRENT_BALANCE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,f9b515763a852ca9438c7c173067025c,2025-06-15T18:18:21.388081
106,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,ACCRUED_INTEREST,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,92c26ab0d1b06aa0d3c2468c56d9cfa4,2025-06-15T18:18:21.469357
107,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,INTEREST_RATE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,25004f3678042e5572cb83adeb333483,2025-06-15T18:18:21.543480
108,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,AVAILABLE_BALANCE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,f90ea1761802225ed723d5a3c05be1c6,2025-06-15T18:18:21.622943
109,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,SALES_ASSOCIATE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,f638fda9dc426058d67b87f1fe272257,2025-06-15T18:18:21.703381
110,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,COLLECTED_BALANCE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,38aa6f385f8592e8d8e430c890ae7650,2025-06-15T18:18:21.779294
111,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,CLOSE_ON_ZERO_BALANCE,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,9123889744943bb20c3eb456005b543f,2025-06-15T18:18:21.852797
112,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,AVERAGE_COLLECTED_BALANCE_QTR1,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,714d6ee47080b8bf8edad9d813257315,2025-06-15T18:18:21.932885
113,ACCOUNT_DEMAND_DEPOSIT_ACCOUNT,AVERAGE_COLLECTED_BALANCE_QTR2,NO_MATCH,NO_MATCH,accounts,0,none,no_candidates,No candidates found,0,af6982cc3f3c3a739997ca574f41219d,2025-06-15T18:18:22.009062
