target_table,target_column,source_table,source_column,mapping_type,confidence_score,mapping_method,notes,business_meaning_target,business_meaning_source,data_type_target,data_type_source,uuid_hash,alternative_mappings
Customer_Address,CUSTOMER_ID,ACCT,custnbr,1:1,90.0,llm_mapping,"LLM mapping: ACCT.custnbr is the most suitable match for Customer_Address.CUSTOMER_ID. Both fields are defined as unique identifiers for customers within the banking system, serving as a key to link related information across different tables.  While there's a possibility of different ID structures between tables, the descriptions strongly suggest they represent the same entity.","Unique identifier for a customer in the banking system. Used to link customer information across various tables like account details, transaction records, and address information.","Unique identifier for a customer within the banking system.  This number is used to link a customer to their various accounts, transactions, and other related information.",integer,integer,0b41a91f-a2e3-04ae-0324-b53dbb4b1ea4,
Customer_Address,ADDRESS_TYPE,BRANCHMAS,address,1:1,70.0,pattern_matching,Pattern matching with 70% similarity,"Categorizes the type of address associated with a customer. This could include home address, billing address, mailing address, or temporary address.  It's used to differentiate between various addresses a customer might have registered with the bank.","The street address of a bank branch. This includes the building number, street name, any suite or unit number, and potentially PO Box information.  It is used for locating and contacting the branch, sending mail, and for internal records.",string,text,9392cfa6-de46-b43b-20cf-53d2992527e3,
Customer_Address,STREET_ADDRESS,BRANCHMAS,address,1:1,70.0,pattern_matching,Pattern matching with 70% similarity,"The street address portion of a customer's physical address. This includes house/building number, street name, and any additional details like apartment/unit number. Used for KYC, mailing, and verifying customer location. Important for fraud prevention and compliance.","The street address of a bank branch. This includes the building number, street name, any suite or unit number, and potentially PO Box information.  It is used for locating and contacting the branch, sending mail, and for internal records.",string,text,7ef1ccde-39a5-5ca1-89a3-3d7a55203a45,
Customer_Address,APARTMENT_NUMBER,NO_MATCH,NO_MATCH,1:0,0.0,no_match,No suitable mapping found,"The apartment, unit, or suite number associated with a customer's residential address. This helps to precisely locate the customer's residence, especially in multi-unit dwellings like apartment buildings or condominiums.  It's crucial for accurate mail delivery, KYC (Know Your Customer) verification, and potentially fraud prevention.",,string,unknown,b6382ff9-6b13-f61a-392b-987dd2929f58,
Customer_Address,CITY_NAME,ADDR,city,1:1,70.0,pattern_matching,Pattern matching with 70% similarity,"The name of the city where the customer's address is located.  This is used for customer identification, communication, and regulatory reporting.  It is also important for KYC (Know Your Customer) and AML (Anti-Money Laundering) compliance, as the customer's location can be a factor in risk assessment.","The city of residence or business location associated with a customer's address. This information is used for KYC (Know Your Customer) compliance, statement delivery, and other customer communication.  It's also crucial for fraud prevention and risk assessment based on geographical location.",string,string,2255d2fb-7c4c-686e-618b-0b41c60675ac,
Customer_Address,STATE_CODE,ADDR,state,1:1,70.0,pattern_matching,Pattern matching with 70% similarity,"Two-letter abbreviation representing the state or province where the customer's address is located. This is used for address verification, regulatory reporting, and targeted marketing campaigns based on geographic location.","The two-letter abbreviation representing the state where the customer or address is located.  This is used for KYC (Know Your Customer) regulations, mail delivery, and geographic analysis of customer demographics.",string,string,b0909e21-c209-f9d5-5c4e-39400ac08bd7,
Customer_Address,POSTAL_CODE,NO_MATCH,NO_MATCH,1:0,0.0,no_match,No suitable mapping found,"The postal code associated with the customer's address. This is used for address verification, mail delivery, and potentially for geographic segmentation and risk assessment based on location.",,string,unknown,a63c16e7-0956-acf1-3eb4-664560d04f48,
Customer_Address,COUNTRY_CODE,ADDR,country,1:1,70.0,pattern_matching,Pattern matching with 70% similarity,"The two-letter ISO country code representing the country associated with the customer's address. This is used for regulatory reporting, KYC (Know Your Customer) compliance, and potentially for customizing services based on the customer's location.","The country associated with a customer's address. This is used for KYC (Know Your Customer) regulations, reporting, and potentially for international transaction processing fees or restrictions. It helps to identify the customer's geographical location for compliance and risk management purposes.",string,string,6c04cf74-c3ff-737f-6f2d-ae20cbb35c9d,
Customer_Address,IS_PRIMARY_ADDRESS,BRANCHMAS,address,1:1,70.0,pattern_matching,Pattern matching with 70% similarity,"Indicates whether this address is the primary address for the customer.  This is used for mailing statements, sending important notices, and as the default address for customer contact. Only one address per customer can be marked as primary.","The street address of a bank branch. This includes the building number, street name, any suite or unit number, and potentially PO Box information.  It is used for locating and contacting the branch, sending mail, and for internal records.",boolean,text,3cecc45e-0537-c8bc-5e38-2b73a3a91c72,
Transaction_History,TRANSACTION_ID,NO_MATCH,NO_MATCH,1:0,0.0,no_match,No suitable mapping found,"Unique identifier for each financial transaction within the Transaction_History table.  This ID allows for tracking and referencing specific transactions for auditing, reporting, and customer service purposes.",,integer,unknown,1181a859-d476-2711-c458-d6bc982ec941,
Transaction_History,ACCOUNT_ID,ACCT,custnbr,1:1,90.0,llm_mapping,"LLM mapping: ACCT.custnbr is a unique identifier for a customer and is used to link them to their various accounts.  While not explicitly an account ID, it's the most likely candidate to be used to derive or join to the Transaction_History.ACCOUNT_ID which represents a unique identifier for a customer's account.  There's a strong semantic relationship here.",Unique identifier for a customer's account.  This ID is used to link transactions to a specific account and allows for tracking of account activity and balances.,"Unique identifier for a customer within the banking system.  This number is used to link a customer to their various accounts, transactions, and other related information.",integer,integer,7fe03292-f232-5a89-b48b-35e2f8ebc5bc,
Transaction_History,TRANSACTION_TYPE,NO_MATCH,NO_MATCH,1:0,0.0,no_match,No suitable mapping found,"Classifies the nature of the financial transaction, indicating whether it is a credit (deposit), debit (withdrawal), transfer, payment, or other specific transaction operation.  This helps in categorizing and analyzing customer activity within the banking system.",,string,unknown,3c301e1d-0010-f07c-6d5c-2e67e8273223,
Transaction_History,TRANSACTION_AMOUNT,TRANS,amount,1:1,70.0,pattern_matching,Pattern matching with 70% similarity,"The monetary value of a specific transaction, representing the amount of money either debited or credited to an account.  This value can be positive for credits (money added to the account) or negative for debits (money subtracted from the account).","Monetary value of the transaction. Represents the amount of money transferred, deposited, or withdrawn in a specific transaction record. Can be positive (credit) or negative (debit).",float,float,75fd9788-5517-0c53-1af2-70e51b08b45f,
Transaction_History,TRANSACTION_DATE,ACCT,lasttxndt,1:1,90.0,llm_mapping,"LLM mapping: ACCT.lasttxndt (Date of the last transaction) is the closest match to Transaction_History.TRANSACTION_DATE. While it represents the last transaction date, it's highly likely that in a transaction history table, this field would align with the most recent transaction date for a given account in that table.  It's not a perfect match as transaction history might contain multiple transactions for a given account, but it's the most relevant source column available.","The date and time when a financial transaction occurred. This is crucial for tracking transaction history, generating reports, and performing analysis on customer behavior and trends. It helps in identifying specific transactions within a given timeframe and is vital for reconciliation and auditing purposes.","Date of the last transaction performed on the account. This indicates the most recent activity date for the account and can be used to assess account activity, dormancy, and potential fraud.",date,date,ed2fa194-c3fc-2526-507c-7b227940c3d7,
Transaction_History,DESCRIPTION,TRANS,descrip,1:1,70.0,pattern_matching,Pattern matching with 70% similarity,"Description of the transaction providing additional context about the purpose, recipient, or specific details. This could include memo notes added by the customer or internal bank codes classifying the transaction type.","Description of the transaction. This provides a human-readable explanation of the purpose or nature of the transaction, such as 'ATM Withdrawal,' 'Online Purchase,' 'Funds Transfer to Checking,' or 'Bill Payment - Electricity.'",text,text,70bc9a33-9da8-81d0-3b0b-37cb005e9946,
Transaction_History,REFERENCE_NUMBER,NO_MATCH,NO_MATCH,1:0,0.0,no_match,No suitable mapping found,"Unique identifier for a specific transaction within the transaction history. This could be used to track and reconcile individual transactions, investigate disputes, or retrieve detailed transaction information.  It could refer to a payment transaction, a deposit, a withdrawal, a transfer, or other financial activity recorded for a customer.",,string,unknown,76df0c32-b0d8-24c8-e55d-bfccc644eb44,
Transaction_History,BALANCE_AFTER,NO_MATCH,NO_MATCH,1:0,0.0,no_match,No suitable mapping found,The remaining balance in a customer's account immediately after a transaction has been processed.  This reflects the net impact of the transaction on the available funds.,,float,unknown,4f14b09f-656b-cc10-94fe-9a9d17c51642,
